1980,9364
1981,18669
1982,28043
1983,37909
1984,47618
1985,57737
1986,67638
1987,77463
1988,88297
1989,99038
1990,111688
1991,124627
1992,136513
1993,148381
1994,160036
1995,171725
1996,183893
1997,196449
1998,209126
1999,221863
2000,234177
2001,245756
2002,258595
2003,274172
2004,288857
2005,305945
2006,326066
2007,351534
2008,382214
2009,414856
2010,444787
2011,477699
2012,511335
2013,545132
2014,580423
2015,616107
2016,644159
